artist_name,e.country,e.country_3,e.startdate,num_exhibitions
Adelbert Niemeyer,DE,DEU,1911,1
Adelbert Niemeyer,DE,DEU,1915,4
Adelbert Niemeyer,HU,HUN,1905,4
Adelbert Niemeyer,IT,ITA,1905,2
Adele Carozzi Bossi,IT,ITA,1914,4
Adele Martignoni,IT,ITA,1906,2
Adele O. Grupe,DE,DEU,1913,4
Adele Slocovich-Salmona,DE,DEU,1910,1
Adele Slocovich-Salmona,DE,DEU,1913,4
Adele Slocovich-Salmona,IT,ITA,1909,2
Adele von Finck,AT,AUT,1910,9
Adele von Finck,DE,DEU,1905,2
Adele von Finck,DE,DEU,1910,2
Adele von Finck,DE,DEU,1913,6
Adele von Finck,DE,DEU,1914,2
Adelheid Kohlschütter,DE,DEU,1906,1
Adelheid von Bergmann,DE,DEU,1913,6
Adeline Albright Wigand,US,USA,1912,1
Adeline Koerner,DE,DEU,1913,6
Adeline Leclaire,BE,BEL,1914,2
Adeline M. Fox,GB,GBR,1914,1
Adeline Maud van Schaik-Russel,NL,NLD,1909,4
Adeline Maud van Schaik-Russel,NL,NLD,1914,2
Adeline de Katona-Madaran,FR,FRA,1911,3
Adeodato Malatesta,IT,ITA,1910,1
Adolf Alex. Záhel,CZ,CZE,1913,2
Adolf Beyer,CH,CHE,1911,1
Adolf Beyer,DE,DEU,1906,18
Adolf Beyer,DE,DEU,1910,6
Adolf Beyer,DE,DEU,1911,1
Adolf Beyer,DE,DEU,1913,2
Adolf Beyer,NL,NLD,1912,2
Adolf Bock,DE,DEU,1905,3
Adolf Bock,DE,DEU,1907,1
Adolf Descoudres,DE,DEU,1906,3
Adolf Eberle,DE,DEU,1905,3
Adolf Echtler,DE,DEU,1905,6
Adolf Echtler,GB,GBR,1906,2
Adolf Edward Herstein,DE,DEU,1910,16
Adolf Edward Herstein,DE,DEU,1911,8
Adolf Edward Herstein,DE,DEU,1912,16
Adolf Edward Herstein,DE,DEU,1913,1
Adolf Edward Herstein,DE,DEU,1914,1
Adolf Edward Herstein,DE,DEU,1915,10
Adolf Erbslöh,AT,AUT,1913,1
Adolf Erbslöh,DE,DEU,1909,6
Adolf Erbslöh,DE,DEU,1910,10
Adolf Erbslöh,DE,DEU,1911,26
Adolf Erbslöh,DE,DEU,1912,8
Adolf Erbslöh,DE,DEU,1913,22
Adolf Erbslöh,DE,DEU,1914,29
Adolf Erbslöh,DE,DEU,1915,4
Adolf Erbslöh,RU,RUS,1910,2
Adolf Fischer,DE,DEU,1906,5
Adolf Fischer,DE,DEU,1907,1
Adolf Fischer,IT,ITA,1907,2
Adolf Fischer,IT,ITA,1914,2
Adolf Fischer,US,USA,1911,1
Adolf Fredrik Nordling,SE,SWE,1911,6
Adolf Fényes,DE,DEU,1907,1
Adolf Fényes,DE,DEU,1910,20
Adolf Fényes,HU,HUN,1905,91
Adolf Fényes,HU,HUN,1907,15
Adolf Fényes,HU,HUN,1908,27
Adolf Fényes,HU,HUN,1909,19
Adolf Fényes,HU,HUN,1910,1
Adolf Fényes,HU,HUN,1912,114
Adolf Fényes,HU,HUN,1913,3
Adolf Fényes,IT,ITA,1909,4
Adolf Fényes,IT,ITA,1914,32
Adolf Glatte,DE,DEU,1913,6
Adolf Graefer,DE,DEU,1906,3
Adolf Graeser,CH,CHE,1911,1
Adolf Gross,AT,AUT,1906,28
Adolf Gross,AT,AUT,1907,12
Adolf Gross,AT,AUT,1908,14
Adolf Gross,AT,AUT,1909,46
Adolf Gross,AT,AUT,1910,18
Adolf Gross,AT,AUT,1911,16
Adolf Gross,AT,AUT,1912,4
Adolf Gross,AT,AUT,1914,17
Adolf Gross,AT,AUT,1915,2
Adolf Gross,CZ,CZE,1911,12
Adolf Gross,CZ,CZE,1914,34
Adolf Gustav Thamm,IT,ITA,1914,2
Adolf Heinrich Lier,DE,DEU,1911,1
Adolf Heller,DE,DEU,1905,9
Adolf Heller,DE,DEU,1906,1
Adolf Heller,DE,DEU,1909,4
Adolf Heller,GB,GBR,1906,1
Adolf Hengeler,AT,AUT,1907,1
Adolf Hengeler,DE,DEU,1905,9
Adolf Hengeler,DE,DEU,1906,8
Adolf Hengeler,DE,DEU,1907,10
Adolf Hengeler,DE,DEU,1908,7
Adolf Hengeler,DE,DEU,1909,5
Adolf Hengeler,DE,DEU,1910,16
Adolf Hengeler,DE,DEU,1911,3
Adolf Hengeler,DE,DEU,1912,2
Adolf Hengeler,DE,DEU,1914,1
Adolf Hengeler,DE,DEU,1915,6
Adolf Hengeler,GB,GBR,1906,4
Adolf Hengeler,GB,GBR,1908,3
Adolf Hengeler,HU,HUN,1909,2
Adolf Hengeler,IT,ITA,1907,2
Adolf Hengeler,IT,ITA,1910,2
Adolf Hengeler,IT,ITA,1912,46
Adolf Hengeler,US,USA,1909,3
Adolf Hildenbrand,DE,DEU,1913,1
Adolf Hildenbrand,IT,ITA,1915,1
Adolf Hoffmann,DE,DEU,1912,4
Adolf Höfer,AT,AUT,1906,12
Adolf Höfer,DE,DEU,1905,6
Adolf Höfer,DE,DEU,1906,6
Adolf Hölzel,AT,AUT,1905,12
Adolf Hölzel,AT,AUT,1908,12
Adolf Hölzel,AT,AUT,1913,30
Adolf Hölzel,DE,DEU,1905,5
Adolf Hölzel,DE,DEU,1906,153
Adolf Hölzel,DE,DEU,1907,10
Adolf Hölzel,DE,DEU,1908,3
Adolf Hölzel,DE,DEU,1910,4
Adolf Hölzel,DE,DEU,1913,68
Adolf Hölzel,GB,GBR,1908,3
Adolf Hölzel,HU,HUN,1905,4
Adolf Hölzel,IT,ITA,1905,2
Adolf Hölzel,IT,ITA,1907,2
Adolf Hölzel,US,USA,1909,1
Adolf Iosifovic Charlemagne,RU,RUS,1909,1
Adolf Iosifovic Charlemagne,RU,RUS,1911,2
Adolf Iosifovic Charlemagne,RU,RUS,1912,1
Adolf Iosifovic Charlemagne,RU,RUS,1913,10
Adolf Iosifovic Charlemagne,RU,RUS,1914,1
Adolf Iosifovic Charlemagne,RU,RUS,1915,10
Adolf Izrailovich Milman,RU,RUS,1912,4
Adolf Izrailovich Milman,RU,RUS,1913,13
Adolf Izrailovich Milman,RU,RUS,1914,18
Adolf Izrailovich Milman,RU,RUS,1915,6
Adolf Johannes Petrus Levolger,NL,NLD,1907,1
Adolf Karpellus,HU,HUN,1913,1
Adolf Kaufmann,DE,DEU,1905,3
Adolf Kaufmann,GB,GBR,1906,1
Adolf Kaufmann,HU,HUN,1913,2
Adolf Kaufmann,IT,ITA,1907,2
Adolf Kaufmann,IT,ITA,1912,2
Adolf Kašpar,CZ,CZE,1906,2
Adolf Kašpar,CZ,CZE,1907,6
Adolf Kašpar,CZ,CZE,1909,4
Adolf Klingshirn,DE,DEU,1914,6
Adolf Lange,NL,NLD,1909,1
Adolf Lange,NL,NLD,1910,2
Adolf Lange,NL,NLD,1914,2
Adolf Le Comte,BE,BEL,1913,1
Adolf Le Comte,DE,DEU,1905,6
Adolf Le Comte,IT,ITA,1907,2
Adolf Le Comte,IT,ITA,1914,4
Adolf Leonhard Müller-Cassel,NL,NLD,1905,2
Adolf Linne,DE,DEU,1914,5
Adolf Luntz,AT,AUT,1905,2
Adolf Luntz,AT,AUT,1906,6
Adolf Luntz,AT,AUT,1907,2
Adolf Luntz,DE,DEU,1905,5
Adolf Luntz,DE,DEU,1906,15
Adolf Luntz,DE,DEU,1907,2
Adolf Luntz,HU,HUN,1909,2
Adolf Lüben,DE,DEU,1905,3
Adolf Maennchen,DE,DEU,1905,6
Adolf Maennchen,DE,DEU,1906,1
Adolf Maennchen,DE,DEU,1908,1
Adolf Maennchen,DE,DEU,1909,6
Adolf Maennchen,GB,GBR,1908,1
Adolf Maennchen,IT,ITA,1914,2
Adolf Münzer,AT,AUT,1906,32
Adolf Münzer,DE,DEU,1905,6
Adolf Münzer,DE,DEU,1906,17
Adolf Münzer,DE,DEU,1907,1
Adolf Münzer,DE,DEU,1909,2
Adolf Münzer,DE,DEU,1910,9
Adolf Münzer,DE,DEU,1912,2
Adolf Münzer,DE,DEU,1913,2
Adolf Münzer,DE,DEU,1914,1
Adolf Münzer,HU,HUN,1905,2
Adolf Münzer,HU,HUN,1909,6
Adolf Münzer,IT,ITA,1905,2
Adolf Münzer,IT,ITA,1907,2
Adolf Münzer,US,USA,1909,3
Adolf Nieder,DE,DEU,1910,2
Adolf Noether,DE,DEU,1906,2
Adolf Oberländer,DE,DEU,1905,9
Adolf Oberländer,DE,DEU,1906,5
Adolf Oberländer,DE,DEU,1907,8
Adolf Oberländer,DE,DEU,1908,7
Adolf Oberländer,DE,DEU,1909,8
Adolf Oberländer,DE,DEU,1910,11
Adolf Oberländer,DE,DEU,1911,33
Adolf Oberländer,DE,DEU,1912,4
Adolf Oberländer,DE,DEU,1913,8
Adolf Oberländer,DE,DEU,1914,2
Adolf Oberländer,DE,DEU,1915,10
Adolf Oberländer,GB,GBR,1906,2
Adolf Oberländer,GB,GBR,1908,1
Adolf Oberländer,HU,HUN,1909,2
Adolf Oberländer,IT,ITA,1914,2
Adolf Oberländer,NL,NLD,1912,2
Adolf Obst,NL,NLD,1905,2
Adolf Propp,DE,DEU,1911,2
Adolf Präger,DE,DEU,1914,3
Adolf Rau,DE,DEU,1905,2
Adolf Robbi,DE,DEU,1906,4
Adolf Robbi,DE,DEU,1910,2
Adolf Robbi,FR,FRA,1905,4
Adolf Robbi,IT,ITA,1907,2
Adolf Robbi,IT,ITA,1908,5
Adolf Schill,DE,DEU,1909,2
Adolf Schinnerer,DE,DEU,1910,4
Adolf Schinnerer,DE,DEU,1912,10
Adolf Schinnerer,DE,DEU,1913,7
Adolf Schinnerer,DE,DEU,1914,5
Adolf Schlabitz,NL,NLD,1905,2
Adolf Schönnenbeck,DE,DEU,1906,8
Adolf Schönnenbeck,DE,DEU,1908,1
Adolf Schönnenbeck,DE,DEU,1909,6
Adolf Schönnenbeck,DE,DEU,1913,2
Adolf Schönnenbeck,GB,GBR,1908,1
Adolf Strübe,DE,DEU,1910,14
Adolf Strübe,DE,DEU,1914,20
Adolf Thomann,DE,DEU,1905,4
Adolf Thomann,DE,DEU,1906,10
Adolf Thomann,DE,DEU,1907,4
Adolf Thomann,DE,DEU,1908,14
Adolf Thomann,DE,DEU,1910,10
Adolf Thomann,DE,DEU,1911,20
Adolf Thomann,DE,DEU,1912,7
Adolf Thomann,DE,DEU,1913,14
Adolf Thomann,DE,DEU,1914,2
Adolf Thomann,HU,HUN,1910,3
Adolf Thomann,IT,ITA,1909,4
Adolf Tikáts,HU,HUN,1906,6
Adolf Wagner,GB,GBR,1906,2
Adolf Wiesner,AT,AUT,1911,2
Adolf Wiesner,CZ,CZE,1906,2
Adolf Wiesner,CZ,CZE,1909,6
Adolf Wiesner,CZ,CZE,1911,2
Adolf Winter,DE,DEU,1914,2
Adolf Wolf-Rothenhan,AT,AUT,1907,6
Adolf Wüster,AT,AUT,1913,6
Adolf Zdrazila,AT,AUT,1905,4
Adolf Zdrazila,AT,AUT,1906,4
Adolf Zdrazila,AT,AUT,1907,6
Adolf Zdrazila,AT,AUT,1908,2
Adolf Zdrazila,AT,AUT,1909,4
Adolf Zdrazila,AT,AUT,1910,2
Adolf Zdrazila,AT,AUT,1911,6
Adolf Zdrazila,AT,AUT,1912,4
Adolf Zdrazila,AT,AUT,1913,12
Adolf Zdrazila,DE,DEU,1911,4
Adolf Zdrazila,NL,NLD,1912,3
Adolf van Dijk,NL,NLD,1905,1
Adolf van Dijk,NL,NLD,1907,3
Adolf van Dijk,NL,NLD,1914,10
Adolf Ágost Barsy,HU,HUN,1906,2
Adolfine Valerie Petter-Zeis,AT,AUT,1914,2
Adolfo Besozzi,IT,ITA,1906,3
Adolfo Busi,IT,ITA,1914,2
Adolfo Busi,IT,ITA,1915,1
Adolfo Callegari,IT,ITA,1913,1
Adolfo Callegari,IT,ITA,1915,2
Adolfo De Carolis,IT,ITA,1905,2
Adolfo De Carolis,IT,ITA,1907,2
Adolfo De Carolis,IT,ITA,1908,3
Adolfo De Carolis,IT,ITA,1909,2
Adolfo Levier,AT,AUT,1905,4
Adolfo Levier,AT,AUT,1906,4
Adolfo Levier,AT,AUT,1907,3
Adolfo Levier,AT,AUT,1908,2
Adolfo Levier,AT,AUT,1909,6
Adolfo Levier,AT,AUT,1910,2
Adolfo Levier,AT,AUT,1913,2
Adolfo Levier,DE,DEU,1905,9
Adolfo Levier,DE,DEU,1906,14
Adolfo Levier,DE,DEU,1907,2
Adolfo Levier,IT,ITA,1905,4
Adolfo Levier,IT,ITA,1907,4
Adolfo Levier,IT,ITA,1908,2
Adolfo Levier,IT,ITA,1910,2
Adolfo Lozano Sidro,GB,GBR,1914,2
Adolfo Mattielli,IT,ITA,1907,2
Adolfo Mattielli,IT,ITA,1909,2
Adolfo Mattielli,IT,ITA,1910,4
Adolfo Mattielli,IT,ITA,1912,4
Adolfo Mattielli,IT,ITA,1913,1
Adolfo Mattielli,IT,ITA,1914,2
Adolfo Scalpelli,IT,ITA,1914,2
Adolfo Tommasi,IT,ITA,1906,20
Adolfo Tommasi,IT,ITA,1907,6
Adolph Hirémy-Hirschl,IT,ITA,1906,1
Adolph Kleiminger,US,USA,1913,6
Adolph Menzel,DE,DEU,1905,1
Adolph Menzel,DE,DEU,1906,2
Adolph Menzel,DE,DEU,1909,8
Adolph Menzel,DE,DEU,1910,7
Adolph Menzel,DE,DEU,1912,39
Adolph Menzel,DE,DEU,1913,8
Adolph Menzel,DE,DEU,1915,16
Adolph Menzel,FR,FRA,1907,1
Adolph Menzel,HU,HUN,1909,8
Adolph Menzel,US,USA,1909,18
Adolph Schwarz,DE,DEU,1905,3
Adolph Schwarz,GB,GBR,1906,1
Adolphe Albert,FR,FRA,1905,18
Adolphe Albert,FR,FRA,1906,6
Adolphe Berson,DE,DEU,1910,1
Adolphe Berson,US,USA,1911,1
Adolphe Berson,US,USA,1912,1
Adolphe Boigegrain,DE,DEU,1905,3
Adolphe Boigegrain,FR,FRA,1905,10
Adolphe Borie,US,USA,1910,1
Adolphe Cossard,FR,FRA,1905,4
Adolphe Crespin,BE,BEL,1913,1
Adolphe Crespin,BE,BEL,1914,2
Adolphe Dechaenaud,BE,BEL,1913,1
Adolphe Dechaenaud,FR,FRA,1912,4
Adolphe Ernest Gumery,BE,BEL,1913,1
Adolphe Ernest Gumery,DE,DEU,1907,4
Adolphe Ernest Gumery,FR,FRA,1905,8
Adolphe Ernest Gumery,FR,FRA,1906,2
Adolphe Ernest Gumery,FR,FRA,1907,4
Adolphe Keller,BE,BEL,1905,12
Adolphe Ladurner,RU,RUS,1912,13
Adolphe Magrini,FR,FRA,1907,43
Adolphe Magrini,IT,ITA,1905,4
Adolphe Magrini,IT,ITA,1906,19
Adolphe Magrini,IT,ITA,1907,43
Adolphe Marie Beaufrère,DE,DEU,1912,4
Adolphe Marie Beaufrère,FR,FRA,1905,27
Adolphe Monticelli,CZ,CZE,1907,14
Adolphe Monticelli,DE,DEU,1907,19
Adolphe Monticelli,DE,DEU,1909,14
Adolphe Monticelli,DE,DEU,1910,4
Adolphe Monticelli,DE,DEU,1911,1
Adolphe Monticelli,DE,DEU,1912,9
Adolphe Monticelli,DE,DEU,1913,28
Adolphe Monticelli,FR,FRA,1907,4
Adolphe Monticelli,FR,FRA,1908,2
Adolphe Monticelli,FR,FRA,1910,2
Adolphe Monticelli,FR,FRA,1911,1
Adolphe Monticelli,FR,FRA,1914,2
Adolphe Monticelli,HU,HUN,1910,3
Adolphe Monticelli,HU,HUN,1913,1
Adolphe Monticelli,IT,ITA,1910,66
Adolphe Monticelli,RU,RUS,1912,5
Adolphe Monticelli,US,USA,1913,2
Adolphe Pierre Leleux,FR,FRA,1912,4
Adolphe Ragon,GB,GBR,1909,2
Adolphe Wansart,BE,BEL,1912,6
Adolphe Wansart,BE,BEL,1913,2
Adolphe Willems,BE,BEL,1914,2
Adolphe Willette,BE,BEL,1914,6
Adolphe Willette,FR,FRA,1905,2
Adolphe Willette,FR,FRA,1906,2
Adolphe Willette,FR,FRA,1907,1
Adolphe Willette,FR,FRA,1910,6
Adolphe Willette,FR,FRA,1914,5
Adolphe Willette,US,USA,1905,1
Adolphe de Mol,BE,BEL,1914,4
Adolphe van Weezel Errens,NL,NLD,1907,1
Adolphe van Weezel Errens,NL,NLD,1909,4
Adolphe van Weezel Errens,NL,NLD,1910,2
Adolphe van Weezel Errens,NL,NLD,1912,1
Adolphe-Félix Cals,FR,FRA,1907,4
Adolphe-Félix Cals,FR,FRA,1910,7
Adolphe-Félix Cals,FR,FRA,1911,1
Adolphe-Félix Cals,FR,FRA,1914,1
Adolphe-Félix Cals,RU,RUS,1912,4
Adolphe-Jean Hamesse,BE,BEL,1908,8
Adolphe-Jean Hamesse,BE,BEL,1914,2
Adolphe-Jean Hamesse,GB,GBR,1915,1
Adriaan Herman Gouwe,NL,NLD,1908,4
Adriaan Herman Gouwe,NL,NLD,1909,10
Adriaan Herman Gouwe,NL,NLD,1910,4
Adriaan Herman Gouwe,NL,NLD,1911,2
Adriaan Herman Gouwe,NL,NLD,1912,2
Adriaan Herman Gouwe,NL,NLD,1914,2
Adriaan Johan Korteweg,DE,DEU,1913,8
Adriaan Johannes Petrus Boudewijnse,NL,NLD,1905,2
Adriaan Johannes Petrus Boudewijnse,NL,NLD,1907,1
Adriaan Joseph Heymans,BE,BEL,1905,10
Adriaan Joseph Heymans,BE,BEL,1907,2
Adriaan Joseph Heymans,BE,BEL,1908,2
Adriaan Joseph Heymans,BE,BEL,1910,2
Adriaan Joseph Heymans,BE,BEL,1912,4
Adriaan Joseph Heymans,BE,BEL,1913,5
Adriaan Joseph Heymans,BE,BEL,1914,6
Adriaan Joseph Heymans,DE,DEU,1905,3
Adriaan Joseph Heymans,DE,DEU,1906,2
Adriaan Joseph Heymans,DE,DEU,1908,6
Adriaan Joseph Heymans,DE,DEU,1914,4
Adriaan Joseph Heymans,FR,FRA,1905,2
Adriaan Joseph Heymans,FR,FRA,1906,2
Adriaan Joseph Heymans,HU,HUN,1908,2
Adriaan Joseph Heymans,IT,ITA,1912,2
Adriaan Keus,NL,NLD,1905,6
Adriaan Keus,NL,NLD,1907,3
Adriaan Keus,NL,NLD,1908,2
Adriaan Keus,NL,NLD,1909,1
Adriaan Keus,NL,NLD,1910,2
Adriaan Keus,NL,NLD,1912,1
Adriaen van Everdingen,NL,NLD,1905,1
Adriaen van Everdingen,NL,NLD,1907,3
Adriaen van Everdingen,NL,NLD,1909,3
Adriaen van Ostade,FR,FRA,1910,1
Adrian Paul Allinson,DE,DEU,1913,2
Adrian Paul Allinson,GB,GBR,1911,4
Adrian Paul Allinson,GB,GBR,1912,2
